Market,Region,Lon,Lat
Tanza Public Market,CALBARZON (Region IV-A),120.856,14.3911
Boac Public Market,MIMAROPA Region (Region IV-B),121.83955,13.4483
Buenavista Public Market,MIMAROPA Region (Region IV-B),121.94704,13.2582
Calapan City Public Market,MIMAROPA Region (Region IV-B),121.17909,13.4134
Gasan Public Market,MIMAROPA Region (Region IV-B),121.8459,13.3286
Looc Public Market,MIMAROPA Region (Region IV-B),121.99052,12.258
Mamburao Public Market,MIMAROPA Region (Region IV-B),120.59004,13.2254
Mogpog Public Market,MIMAROPA Region (Region IV-B),121.85995,13.4743
Odiongan Public Market,MIMAROPA Region (Region IV-B),121.98812,12.4026
Pinamalayan Public Market,MIMAROPA Region (Region IV-B),121.48893,13.0362
Puerto Galera Public Market,MIMAROPA Region (Region IV-B),120.95567,13.5001
Puerto Princesa New Market,MIMAROPA Region (Region IV-B),118.74499,9.7831
Puerto Princesa Old Public Market,MIMAROPA Region (Region IV-B),118.73574,9.7419
Roxas Public Market,MIMAROPA Region (Region IV-B),121.51866,12.5877
Sablayan Public Market,MIMAROPA Region (Region IV-B),120.77476,12.843
San Agustin Public Market,MIMAROPA Region (Region IV-B),121.74713,16.5056
San Jose New Market,MIMAROPA Region (Region IV-B),118.74499,9.7831
San Jose Public Market,MIMAROPA Region (Region IV-B),118.74496,9.7831
Sta. Cruz Public Market,MIMAROPA Region (Region IV-B),121.41213,14.2863
Torrijos Public Market,MIMAROPA Region (Region IV-B),122.08655,13.3221
Agora Public Market,Zamboanga Peninsula (Region IX),124.81062,8.4274
Dipolog Central Public Market,Zamboanga Peninsula (Region IX),123.3408,8.5872
Ipil Public Market,Zamboanga Peninsula (Region IX),122.58411,7.7772
Pagadian City Farmers Trading Center,Zamboanga Peninsula (Region IX),123.43859,7.8225
Zamboanga City Public Market,Zamboanga Peninsula (Region IX),122.07439,6.9045
Daet Public Market,Bicol Region (Region V),122.95651,14.117
Iriga City Public Market,Bicol Region (Region V),123.41038,13.4197
Legazpi City Public Market,Bicol Region (Region V),123.75069,13.1469
Masbate City Public Market,Bicol Region (Region V),123.62208,12.3633
Naga City People'S Mall,Bicol Region (Region V),123.18377,13.6214
Sorsogon City Public Market,Bicol Region (Region V),124.00651,12.9696
Tabaco City Public Market,Bicol Region (Region V),123.73111,13.3574
Virac Public Market,Bicol Region (Region V),124.22913,13.5781
Iloilo Central Market,Western Visayas (Region VI),122.56972,10.6929
Kalibo Public Market,Western Visayas (Region VI),122.37008,11.7068
Leon Public Market,Western Visayas (Region VI),122.3892,10.7792
Libertad Public Market,Western Visayas (Region VI),122.9498,10.6601
New Site Alibhon Market,Western Visayas (Region VI),122.58904,10.7496
San Jose Trade Market,Western Visayas (Region VI),122.5633,10.717
Teodoro Arcenas Public Market,Western Visayas (Region VI),122.75531,11.5803
Tubungan Public Market,Western Visayas (Region VI),122.31859,10.767
Carbon Pasil Market,Central Visayas (Region VII),123.89222,10.2915
Consolacion Public Market,Central Visayas (Region VII),123.96083,10.3753
Dao Public Market,Central Visayas (Region VII),122.68022,11.3965
Dumaguete City Public Market,Central Visayas (Region VII),123.30582,9.306
Lapu Lapu City Public Market,Central Visayas (Region VII),123.95026,10.3105
Larena Public Market,Central Visayas (Region VII),123.59078,9.2475
Mandaue City Public Market,Central Visayas (Region VII),123.94126,10.3277
Siquijor Public Market,Central Visayas (Region VII),123.51366,9.2137
Tabunok Public Market,Central Visayas (Region VII),123.83855,10.2632
Catarman Public Market,Eastern Visayas (Region VIII),124.64082,12.4954
Catbalogan City Public Market,Eastern Visayas (Region VIII),124.87952,11.7736
Maasin City Public Market,Eastern Visayas (Region VIII),124.83455,10.1316
Naval Market,Eastern Visayas (Region VIII),124.3925,11.5606
Ormoc City Public Market,Eastern Visayas (Region VIII),124.60621,11.0044
Tacloban City Public Market,Eastern Visayas (Region VIII),124.94963,11.3293
Aloran Public Market,Northern Mindanao (Region X),123.82288,8.4146
Alubijid Public Market,Northern Mindanao (Region X),124.47517,8.5714
Bacolod Public Market,Northern Mindanao (Region X),122.95028,10.6599
Carmen Public Market,Northern Mindanao (Region X),124.6364,8.4892
Cogon Public Market,Northern Mindanao (Region X),124.65156,8.4773
Gingoog City Agora Market,Northern Mindanao (Region X),124.65901,8.4887
Iligan City Tambo Market,Northern Mindanao (Region X),124.25945,8.2435
Initao Public Market,Northern Mindanao (Region X),124.30315,8.4957
Kapatagan Public Market,Northern Mindanao (Region X),123.77058,7.8973
Kauswagan Lanao Del Norte Public Market,Northern Mindanao (Region X),123.77061,7.8972
Laguindingan Municipal Market,Northern Mindanao (Region X),124.44121,8.5724
Malaybalay City Public Market,Northern Mindanao (Region X),125.13351,8.1478
Manolo Fortich Public Market,Northern Mindanao (Region X),124.8652,8.3656
Maramag Public Market,Northern Mindanao (Region X),125.00296,7.7603
Oroquieta City Public Market,Northern Mindanao (Region X),123.80735,8.4822
Ozamiz City Public Market,Northern Mindanao (Region X),123.84275,8.1437
Quezon Central Market,Northern Mindanao (Region X),125.11468,7.7127
San Fernando Public Market,Northern Mindanao (Region X),125.32859,7.9186
Tubod Business Community Center,Northern Mindanao (Region X),125.21151,6.7949
Valencia City Public Market,Northern Mindanao (Region X),125.09129,7.9043
Agdao Public Market,Davao Region (Region XI),125.62298,7.0821
Bankerohan Public Market,Davao Region (Region XI),125.60152,7.0685
General Santos Public Market,SOCCSKSARGEN (Region XII),125.17878,6.1079
Kidapawan Public Market,SOCCSKSARGEN (Region XII),125.09,7.0122
Koronadal City Public Market,SOCCSKSARGEN (Region XII),124.84444,6.5019
Municiipality Of Malapatan Public Market,SOCCSKSARGEN (Region XII),125.28546,5.97
Municipality Of Alabel Public Market,SOCCSKSARGEN (Region XII),125.28833,6.1515
Municipality Of Isulan Public Market,SOCCSKSARGEN (Region XII),124.41982,6.5069
Municipality Of Kabacan Public Market,SOCCSKSARGEN (Region XII),124.86608,7.153
Municipality Of Lambayong Public Market,SOCCSKSARGEN (Region XII),124.41982,6.5069
Municipality Of Malungon Public Market,SOCCSKSARGEN (Region XII),124.99475,5.9267
Municipality Of Midsayap Public Market,SOCCSKSARGEN (Region XII),125.03882,7.1083
Municipality Of Polomolok Public Market,SOCCSKSARGEN (Region XII),124.77408,6.3358
Municipality Of Pres. Quirino Public Market,SOCCSKSARGEN (Region XII),124.72933,6.6998
Municipality Of Surallah Public Market,SOCCSKSARGEN (Region XII),124.77408,6.3358
Municipality Of Tupi Public Market,SOCCSKSARGEN (Region XII),124.77408,6.3358
Tacurong Public Market,SOCCSKSARGEN (Region XII),124.67563,6.6882
San Francisco Market,Caraga (Region XIII),125.97803,8.5086
Surigao City Public Market,Caraga (Region XIII),125.49582,9.79
Tandag City Public Market,Caraga (Region XIII),126.19692,9.0565
Numancia Public Market,Western Visayas (Region VI),122.3310493,11.70425583
San Miguel Public Market,Western Visayas (Region VI),122.468451,10.78762099
Dupax Del Norte Public Market,Cagayan Valley (Region II),121.1064095,16.30478667
